Expression;Human Translation;Google Translate;DeepL;Yandex Translate;Language;Category
Healing era;период восстановления;эра исцеления;период восстановления;период исцеления;English;😂 Мемдер
Soft life;спокойная комфортная жизнь;мягкая жизнь;комфортная жизнь;спокойная жизнь;English;😂 Мемдер
Romanticize your life;романтизируй свою жизнь;романтизируй свою жизнь;сделай жизнь красивее;романтизируй жизнь;English;📱 Социалдык тармактар
Lucky girl syndrome;синдром удачливой девушки;синдром счастливой девушки;синдром удачи;синдром везучей девушки;English;😂 Мемде
Hot girl walk;прогулка для уверенности;прогулка горячей девушки;уверенная прогулка;горячая прогулка;English;😂 Мемдер
That girl;идеальная версия себя;та девушка;идеальная девушка;та самая девушка;English;😂 Мемдер
Sunday reset;воскресная перезагрузка;воскресный сброс;воскресная перезагрузка;перезагрузка в воскресенье;English;📱 Социалдык тармактар
Glow up;сильное преображение;сияние вверх;преображение;глоу ап;English;😂 Мемдер
Manifesting;визуализировать желаемое;манифестировать;визуализировать желания;манифестировать;English;📱 Социалдык тармактар
NPC behavior;поведение как у NPC;поведение NPC;поведение NPC;поведение нпс;English;🎮 Оюн сленги
Canon event;неизбежный этап;каноническое событие;неизбежное событие;канон событие;English;😂 Мемдер
Brain rot;интернет-зависимый юмор;гниение мозга;интернет-зависимость;разложение мозга;English;😂 Мемдер
POV;точка зрения;точка зрения;перспектива;пов;English;📱 Социалдык тармактар
Skill issue;проблема в навыках;проблема навыков;нехватка навыков;скилл ишью;English;🎮 Оюн сленги
GG;хорошая игра;гг;хорошая игра;хорошая игра;English;🎮 Оюн сленги
Rage quit;выйти из игры из-за злости;яростный выход;выйти в гневе;выйти психанув;English;🎮 Оюн сленги
AFK;отошел от клавиатуры;афк;отошел от клавиатуры;афк;English;🎮 Оюн сленги
Nerf;ослабить персонажа;нерф;ослабить;понерфить;English;🎮 Оюн сленги
Buff;усилить персонажа;бафф;усилить;забафать;English;🎮 Оюн сленги
Break the ice;разрядить обстановку;сломать лед;разрядить обстановку;сломать лед;English;📖 Идиомалар
Piece of cake;очень легко;кусок торта;очень легко;кусок пирога;English;📖 Идиомалар
Spill the beans;раскрыть секрет;рассыпать бобы;выдать секрет;рассыпать фасоль;English;📖 Идиомалар
Hit the books;сесть за учебу;ударить книги;заняться учебой;удариться в учебу;English;📖 Идиомалар
Under the weather;плохо себя чувствовать;под погодой;плохо себя чувствовать;под погодой;English;📖 Идиомалар
Beat around the bush;ходить вокруг да около;бить вокруг куста;ходить вокруг да около;ходить вокруг куста;English;📖 Идиомалар
Miss the boat;упустить шанс;пропустить лодку;упустить возможность;упустить лодку;English;📖 Идиомалар
Pull someone’s leg;подшучивать над кем-то;тянуть чью-то ногу;подшучивать;дергать за ногу;English;📖 Идиомалар
Call it a day;закончить на сегодня;назвать это днем;закончить на сегодня;закончить день;English;📖 Идиомалар
Out of the blue;неожиданно;из синего;неожиданно;из ниоткуда;English;📖 Идиомалар
Take it easy;расслабься;успокойся;расслабься;полегче;English;🌍 Интернет сленги
You’ve got this;у тебя получится;у тебя есть это;ты справишься;у тебя получится;English;🌍 Интернет сленги
No worries;без проблем;никаких забот;без проблем;не переживай;English;🌍 Интернет сленги
I’m dead;я умираю со смеху;я мертв;я умираю со смеху;я умер;English;😂 Мемдер
Go off;жги / выскажись;уйти прочь;выскажись;жги;English;🌍 Интернет сленги
Periodt;и точка;период;и точка;периодт;English;😂 Мемдер
Facts;это правда;факты;это правда;факты;English;🌍 Интернет сленги
For real;правда / реально;по-настоящему;серьезно;реально;English;🌍 Интернет сленги
Make it make sense;объясните нормально;заставь это иметь смысл;объясни нормально;сделай это логичным;English;😂 Мемдер
